Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
0.5160700479856789,0.3502826316745588,1,0,0,-0.02337709248293433,-0.147116879042729,1,1,-1.3149317108843133,1,2,1,2,0.037064001499673066,0,1,2,1,0.005736187243026083
-0.17648480277748005,-1.389206378380219,1,2,0,0.6570311666116999,-1.122403402323572,1,1,0.7184262910808548,2,2,1,0,1.0084296511924071,0,0,1,0,-1.8546322539686857
0.6892087606764686,1.5679249387129035,2,2,1,-0.02337709248293433,1.1068229366040692,2,1,0.7184262910808548,2,2,1,1,1.0084296511924071,0,2,2,1,2.1761660353233565
1.5549023241304174,0.7851548841882533,1,2,1,0.6570311666116999,1.5944661982444905,2,1,-0.2982527099017292,2,2,1,0,1.0084296511924071,0,1,1,1,1.2459818147175006
-0.17648480277748005,1.04607823569647,2,2,1,-0.7037853515775685,-0.7044234637746393,2,1,1.7351052920634387,2,0,1,1,1.0084296511924071,0,0,2,0,0.935920407848882
-0.17648480277748005,0.6981804336855144,2,2,1,0.6570311666116999,0.9674962904210915,2,1,1.7351052920634387,2,2,1,2,0.037064001499673066,0,2,2,1,1.2459818147175006
1.5549023241304174,0.3502826316745588,2,1,1,-0.02337709248293433,-0.49543349450017293,1,1,-0.2982527099017292,1,2,0,1,-0.9343016481930609,0,1,1,1,0.005736187243026083
0.8623474733672584,-0.1715640713418746,1,0,1,-0.7037853515775685,-1.749373310146971,2,1,-0.2982527099017292,0,0,1,0,-0.9343016481930609,0,1,0,1,-0.30432521962559256
-0.5227622281590595,1.2200271367019477,2,0,0,-0.7037853515775685,0.34052638259769247,0,1,-1.3149317108843133,2,1,0,1,-1.9056672978857951,0,0,2,1,0.6258590009802634
0.5160700479856789,1.5679249387129035,2,2,1,0.6570311666116999,-0.28644352522570654,2,1,-1.3149317108843133,0,0,1,2,1.9797953008851412,0,1,1,1,1.5560432215861193
