,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
0,0.5160700479856789,0.3502826316745588,1,0,0,-0.02337709248293433,-0.147116879042729,1,1,-1.3149317108843133,1,2,1,2,0.037064001499673066,0,1,2,1,0.005736187243026083
1,-0.17648480277748005,-1.389206378380219,1,2,0,0.6570311666116999,-1.122403402323572,1,1,0.7184262910808548,2,2,1,0,1.0084296511924071,0,0,1,0,-1.8546322539686857
2,0.6892087606764686,1.5679249387129035,2,2,1,-0.02337709248293433,1.1068229366040692,2,1,0.7184262910808548,2,2,1,1,1.0084296511924071,0,2,2,1,2.1761660353233565
3,1.5549023241304174,0.7851548841882533,1,2,1,0.6570311666116999,1.5944661982444905,2,1,-0.2982527099017292,2,2,1,0,1.0084296511924071,0,1,1,1,1.2459818147175006
4,-0.17648480277748005,1.04607823569647,2,2,1,-0.7037853515775685,-0.7044234637746393,2,1,1.7351052920634387,2,0,1,1,1.0084296511924071,0,0,2,0,0.935920407848882
5,-0.17648480277748005,0.6981804336855144,2,2,1,0.6570311666116999,0.9674962904210915,2,1,1.7351052920634387,2,2,1,2,0.037064001499673066,0,2,2,1,1.2459818147175006
6,1.5549023241304174,0.3502826316745588,2,1,1,-0.02337709248293433,-0.49543349450017293,1,1,-0.2982527099017292,1,2,0,1,-0.9343016481930609,0,1,1,1,0.005736187243026083
7,0.8623474733672584,-0.1715640713418746,1,0,1,-0.7037853515775685,-1.749373310146971,2,1,-0.2982527099017292,0,0,1,0,-0.9343016481930609,0,1,0,1,-0.30432521962559256
8,-0.5227622281590595,1.2200271367019477,2,0,0,-0.7037853515775685,0.34052638259769247,0,1,-1.3149317108843133,2,1,0,1,-1.9056672978857951,0,0,2,1,0.6258590009802634
9,0.5160700479856789,1.5679249387129035,2,2,1,0.6570311666116999,-0.28644352522570654,2,1,-1.3149317108843133,0,0,1,2,1.9797953008851412,0,1,1,1,1.5560432215861193
10,-0.5227622281590595,1.4809504882101645,2,0,1,-0.7037853515775685,0.828169644238114,1,1,0.7184262910808548,1,0,0,1,-0.9343016481930609,0,1,2,1,1.2459818147175006
11,0.16979262260409944,0.2633081811718199,2,2,1,0.6570311666116999,1.5248028751530018,1,1,0.7184262910808548,2,2,1,2,1.0084296511924071,0,1,2,1,0.935920407848882
12,-1.9078719296853774,0.17633373066908103,2,2,1,0.6570311666116999,-0.21678020213421778,2,1,0.7184262910808548,2,2,0,2,0.037064001499673066,0,2,2,1,-0.30432521962559256
13,-1.7347332169945877,-0.1715640713418746,2,0,1,0.6570311666116999,-0.07745355595124022,2,1,-0.2982527099017292,1,2,0,1,1.0084296511924071,0,2,2,1,-0.6143866264942112
14,-0.5227622281590595,-1.0413085763692635,2,2,0,0.6570311666116999,-0.35610684831719536,2,1,0.7184262910808548,2,2,0,2,1.0084296511924071,0,1,2,0,-0.9244480333628299
15,-1.0421783662314288,-1.7371041803911749,2,1,1,2.017847684800968,-0.7044234637746393,1,1,-1.3149317108843133,0,2,0,2,0.037064001499673066,0,0,2,1,-2.1646936608373046
16,0.3429313352948892,-0.8673596753637858,1,2,1,-0.7037853515775685,0.47985302878067004,2,1,-0.2982527099017292,1,0,1,1,0.037064001499673066,0,1,2,0,-0.6143866264942112
17,-0.8690396535406391,0.002384829663603219,2,2,1,1.337439425706334,1.1068229366040692,1,1,1.7351052920634387,1,2,1,2,-0.9343016481930609,0,0,1,0,0.005736187243026083
18,-1.3884557916130082,-0.4324874228500913,2,0,1,-0.02337709248293433,-1.1920667254150608,2,1,1.7351052920634387,2,2,0,2,1.0084296511924071,0,0,2,1,-0.30432521962559256
19,1.5549023241304174,-0.1715640713418746,2,2,0,-1.3841936106722028,1.6641295213359795,0,1,-1.3149317108843133,0,2,1,0,-1.9056672978857951,0,1,1,0,0.6258590009802634
20,-0.17648480277748005,1.6548993892156423,2,0,0,-0.7037853515775685,0.6191796749636477,2,1,-0.2982527099017292,2,0,1,1,0.037064001499673066,0,1,2,1,1.5560432215861193
21,-0.0033460900866903063,-0.5194618733528302,2,0,0,0.6570311666116999,0.9674962904210915,1,1,-0.2982527099017292,2,2,1,0,-0.9343016481930609,0,0,1,0,-0.30432521962559256
22,-1.561594504303798,-0.1715640713418746,0,2,1,0.6570311666116999,1.7337928444274682,0,1,-0.2982527099017292,1,2,1,1,0.037064001499673066,0,1,1,1,-0.30432521962559256
23,-0.5227622281590595,-1.3022319278774803,1,0,1,-1.3841936106722028,-0.007790232859751427,2,1,0.7184262910808548,1,2,1,2,0.037064001499673066,0,1,2,0,-1.2345094402314485
24,0.16979262260409944,-1.563155279385697,0,1,1,-0.7037853515775685,-1.4707200177810158,0,1,-1.3149317108843133,0,0,1,2,0.037064001499673066,0,2,0,1,-0.9244480333628299
25,-1.2153170789222185,0.9591037851937312,1,2,0,-0.7037853515775685,1.0371596135125802,2,1,-0.2982527099017292,0,2,1,0,-0.9343016481930609,1,1,1,0,-0.6143866264942112
26,0.3429313352948892,0.2633081811718199,0,0,1,-0.7037853515775685,1.3158129058785355,2,1,-1.3149317108843133,0,2,1,1,-0.9343016481930609,0,0,1,1,1.2459818147175006
27,-0.6959009408498493,0.8721293346909922,2,2,0,-2.064601869766837,-1.1920667254150608,2,1,-0.2982527099017292,1,2,1,1,0.037064001499673066,0,1,1,0,-0.30432521962559256
28,-0.3496235154682698,-1.2152574773747413,0,0,0,-2.064601869766837,-1.6797099870554824,1,1,0.7184262910808548,1,2,0,1,-0.9343016481930609,0,0,2,1,-0.9244480333628299
29,-0.6959009408498493,0.2633081811718199,1,2,0,-0.7037853515775685,-1.2617300485065495,2,1,-1.3149317108843133,0,1,1,2,1.0084296511924071,1,1,2,0,-1.2345094402314485
30,1.9011797495119969,-0.8673596753637858,2,0,1,-0.02337709248293433,-0.6347601406831505,2,1,-0.2982527099017292,0,2,1,0,0.037064001499673066,0,0,2,1,0.6258590009802634
